WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0872122,Display screen or portion thereof with graphical user interface,20180115,20200107,Gregory S. Altonen;Jason C. Killo;Brad M. Kreschollek;Madia L. Rivera,Lutron Technology Company LLC,1404,6222921;D496335;D512726;D539758;D592607;D625273;D631854;D633874;D638375;D646232;D649123;D649124;D655254;D690668;D694197;D694716;D702700;D713360;D723053;D738321;D752107;D755736;D757100;D768581;D771648;D774470;D775177;D795202;D795918;D795926;D797131;D818445;D820293;D822061;10263802;D849050;2009/0271712;2012/0130513;2013/0187780;2013/0305184;2014/0237378;2014/0268628;2015/0227223;2016/0057029;2016/0085431;2016/0306509;2016/0364114;2017/0185278;2017/0193617;2017/0364239;2018/0321825;2019/0034051,"We claim the ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872123,Display screen or portion thereof with a group of icons,20180223,20200107,Alan C. Dye;Christopher Daryl Soli;Aled Williams;Christopher Wilson,Apple Inc.,1404,D341848;D395643;D519519;D594468;D604305;D612395;D617334;D644245;D704214;D710382;D737849;D745566;D746337;D754734;D757095;D757107;D775663;D811433;D823893;D845345;2015/0033162;2015/0121260,"The ornamental design for a display screen or portion thereof with a group of icons, as shown and described."
D0872124,Mobile terminal display screen with an animated graphical user interface,20180311,20200107,Ming Yan Jonathan Chu,"BEIJING KINGSOFT INTERNET SECURITY SOFTWARE CO., LTD.",1404,D580449;D640277;D640280;D640281;D673170;D709910;D717825;D754143;D764519;D771082;D771646;D773482;D780800;D785030;D785031;D785032;D785033;D785034;D845990;D856368;D856369;2013/0174082,"The ornamental design for a mobile terminal display screen with an animated graphical user interface, as shown and described."
D0872125,Display screen with transitional graphical user interface,20180430,20200107,Brandon S. Burroughs;Michael Hailey;Kim Laama;Stefan Olander;Michael Wood,"NIKE, Inc.",1404,D644242;D644243;D650793;D667450;D691171;D694262;D701217;D703693;D711909;D712915;D712917;D714819;D726221;D737325;D739878;D740304;D744500;D745890;D746857;D752061;D752069;D756401;D756405;D756413;D757747;D757748;D763271;D763303;D763869;D763870;D763916;D764488;D765674;D770517;D771064;D771125;D772249;D772257;D772941;D775648;D776680;D777204;D778923;D780189;D780781;D780806;D781911;D783027;D784363;D786910;D787527;D794675;D797122;D797788;D798902;D799544;D800751;D800752;D800753;D802603;D803233;D803870;D805548;D806744;D815108;D821410;D828384;D836121;D837808;D837810;D847146;D847828;D847829,"The ornamental design for a display screen with transitional graphical user interface, as shown and described."
D0872126,Display screen with transitional graphical user interface,20180430,20200107,Brandon S. Burroughs;Michael Hailey;Kim Laama;Stefan Olander;Michael Wood,"NIKE, Inc.",1404,D644242;D644243;D650793;D667450;D691171;D694262;D701217;D703693;D711909;D712915;D712917;D714819;D726221;D737325;D739878;D740304;D744500;D745890;D746857;D752061;D752069;D756401;D756405;D756413;D757747;D757748;D763271;D763303;D763869;D763870;D763916;D764488;D765674;D770517;D771064;D771125;D772249;D772257;D772941;D775648;D776680;D777204;D777743;D778923;D780189;D780781;D780806;D781911;D783027;D784363;D786910;D787527;D792429;D794675;D797122;D797754;D797788;D798902;D799544;D800751;D800752;D800753;D802603;D803233;D803870;D805548;D815108;D834042;D837808;D837810;D842311;D847146;D847828;D847829;D849019;D851101,"The ornamental design for a display screen with transitional graphical user interface, as shown and described."
D0872127,Display screen or portion thereof with animated graphical user interface,20180716,20200107,Marcos Alonso Ruiz;Patrick Lee Coffman;Richard Dellinger;Stephen O. Lemay;Brandon Walkin,Apple Inc.,1404,D441762;D621848;D666209;D670714;D704726;D716836;9122365;D741353;D741885;D745530;D753181;D757753;D759062;D762671;D764517;D765102;D765700;D771119;D773487;D775649;D781336;D784366;D784393;D785649;D791807;D794041;D797138;D801997;D803858;D804493;D804510;D810765;D816701;D817997;D820849;D823338;D823868;D827662;D827666;D832877;D833473;D847829;D850478;D856347;D858555;2019/0272084,"The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described."
D0872128,Display screen or portion thereof with animated graphical user interface,20180217,20200107,Greg Apodaca;Imran Chaudhri;Raymond Sepulveda,Apple Inc.,1404,D341848;D534543;D547325;D599362;D627790;8379874;D697524;D706823;D710382;D780781;D829751;D852815;2015/0081367;2016/0301637,"The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described."
D0872129,Display screen or portion thereof with icon,20180604,20200107,Mani Amini;Alan C. Dye;Aurelio Guzmán;Sascha Höhne;Stephen O. Lemay;Alexander Harry Little;Wyatt R. Mitchell;Christopher Wilson,Apple Inc.,1404,D664991;D670736;D705810;D715813;D750128;D760279;D760746;D760765;D767624;D768713;D771116;D780802;D786921;D790561;D791175;D805089;D805103;D805540;D805555;D809005;D818490;D820883;D824420;D826263;D829763;D832885;D842891;D845325,"The ornamental design for a display screen or portion thereof with icon, as shown and described."
D0872130,Display panel or portion thereof with graphical user interface,20180525,20200107,Alan Vincent Noon,"Magic Leap, Inc.",1404,D266263;D335902;D468750;D536396;D591477;D612399;D619599;D651611;D683359;D708634;D743441;D765729;D785044;D800160;D847845;2013/0083215,"The ornamental design for a display panel or portion thereof with graphical user interface, as shown and described."
D0836962,Water pitcher,20170518,20190101,Marcus J. Shotey;Daniel Allen,"Bonvi Water, Inc.",701,D630894;D651446;9382131;D798643,"The ornamental design for a water pitcher, as shown and described."
D0836963,Water container,20170606,20190101,Sangwoon Jeon;Hyunil Lee;Junhyeok Choi,"SAMSUNG ELECTRONICS CO., LTD.",701,D317547;D602731;D651446;D668094;D683176;D708888;D745804;2017/0354278,"The ornamental design fora water container, as shown and described."
D0836972,Pickle pipe,20170523,20190101,Philip D. Baron;Michael J. Bacher,"Masontops, Inc.",701,D5371;2335766;2556195;2694641;2828886;3252404;3455292;3924774;3943987;3946780;4099512;D249624;4218964;4434810;4537017;4688571;4844929;4874108;D304663;5004118;5108423;D326917;5212090;5213230;D341320;5339981;D384236;D392046;5769285;D399745;D415652;6050451;D432857;D455963;6769291;D596487;D617057;D622090;8117990;D659464;D682612;D686878;D717103;8985361;D732959;D745799;9215955;2009/0028999;2012/0305514;2014/0116271;2015/0128809,"We claim an ornamental design for a pickle pipe, as shown and described."
D0836974,Container,20170602,20190101,Roy Joseph Seiders;Matthew Joseph Petrillo;Kyle Ellison,"YETI Coolers, LLC",701,D192192;4090660;4202459;4408703;D288667;D363666;5746338;D416755;D485759;D504796;D544749;D552926;D584566;D608140;D623017;D627600;D643245;D644060;D647753;D655570;D655604;D655967;D662354;D666052;D667263;8276776;D674663;D691416;D692756;D696900;D710698;D715100;D717103;D717115;D721535;D721540;D732337;D747199;D751340;D751341;D752381;D752397;9346076;D761618;D764869;D772651;D779872;D780531;D789737;D795020;D796256;D799899;D801746;D802362;D803619;D803684;D804905;D805838;D807701;D808218;D814240;2010/0288782;2011/0114655;2012/0125931;2013/0186918;2014/0374418;2015/0021345;2015/0266597;2017/0273484,"The ornamental design for a container, as shown and described."
D0836982,Vessel,20170915,20190101,Ryan Diener;Mike Allen,HELEN OF TROY LIMITED,701,D35066;D256651;D280291;D548082;D569254;D577289;D626414;D629689;D629691;D633794;D633795;D633797;D709734;D751924;D783368;D784775;D799906;D804256;D807125;D807126,"The ornamental design for a vessel, as shown, and described."
D0836983,Beverage system,20170223,20190101,Dylan M. Jacob,"BruMate, LLC",701,D373704;D398479;D416198;D492546;D501362;D534762;D539155;D539657;D541665;D551984;D557140;D591556;D602362;7628285;D635019;D641591;8033407;D654762;D660084;D664045;D690988;D707087;D727093;D727688;D728314;D732968;D750497;D761618;D761623;D761624;D770851;D773296;D775495;D780530;D784763;D786700;2014/0205725,"The ornamental design for a beverage system, as shown and described."
D0836984,Container with lid,20170825,20190101,Steven M. Sorensen;David O. Meyers;Manny Carreon,"Runway Blue, LLC",701,D226174;D235032;D317121;D343793;D352242;D412664;D413067;6029837;D427913;D460357;D528910;D537355;D537676;D561035;D596458;D609969;D610005;D619001;D690556;D692276;8752720;8807083;D714584;D721912;D724896;D758133;D760540;D763076;D766090;D767390;D769671;D781153;D791542;D795646;D797497;9771189;D816397;D818774;D824722;2006/0016819;2006/0045604;2006/0226110;2008/0087624;2009/0236341;2011/0278216;2014/0233344;2015/0173540,"The ornamental design for a container with lid, as shown and described."
D0836985,Sports shaker,20170831,20190101,Marin Otto,Printer & Long AS,701,D563232;D621220;D634972;D674662;D682612;D687661;D689331;D697354;D699996;D723332;D724896;D730694;D739674;D741183;D747148;D748430;D754483;D755562;D766029;D766090;D767337;D778666;D786018;D788527;D793165;D797497;D799270;D811814;2016/0296051;2018/0072553,"The ornamental design for a sports shaker, as shown."
D0836986,Drinking cup,20160909,20190101,Ben Davies,KONINKLIJKE PHILIPS N.V.,701,D315213;D368529;D476849;D495558;D507151;D515867;D520809;D545131;D551021;D559624;D579721;D616706;D625424;D627599;D635684;D642435;D642866;8256642;D675877;D676709;D679948;D683185;D684426;D688099;8573436;D713687;D718087;D718090;D730697;D734095;D747920;D748435;D763624;D764235;D793167;D796262;D796906;D809875;D819401;2003/0218015;2005/0098567,"The ornamental design for a drinking cup, as shown and described."
D0836987,Drinking vessel,20171110,20190101,Jordon J. Schultz,,701,1496989;D261465;5092480;D466407;D472426;D492196;D577615;D713718;D753482;D818819,"The ornamental design for a drinking vessel, as shown and described."
D0836988,Bowl,20171017,20190101,Michael D. Dwork,,701,D235498;D284727;D372170;D448130;D530625;D541488;D645708;D649838;D749412;D750973;D778115;D790926;D792161;D793811;D819334;D823693,"The ornamental design for a bowl, as shown and described."
D0836989,Skewer alignment tray with lid,20170619,20190101,Kathleen Tang,,701,D524651;D635364;D766663;D787186;D793252;D800577;D805399;D805403;D806576;D810518,"The ornamental design for a skewer alignment tray with lid, as shown and described."
D0836990,Rectangular feeding mat,20160713,20190101,Nouri E Hakim,"Admar International, Inc.",701,D259669;4989846;D366395;D550407;D631696;D658917;D735531;D766659;D766660;D767941;D774361;D791544;D802368;D807705;2012/0273384;2017/0280675;2017/0280904,"An ornamental design for a rectangular feeding mat, as shown and described, except as disclaimed herein."
D0836991,Food tray,20170502,20190101,Brian Wansink,"Transformative Health Solutions, LLC",701,D122589;D195345;D201454;D208260;D208717;D247765;D255310;D261589;RE30962;D271932;D280669;D292768;D335796;D353515;D355333;D360111;D376296;D410820;D423290;D436500;D606774;D634541;8381662;D721543;D769678;D770856;D785406;D786621;D791544,"The ornamental design for a food tray, as shown and described."
D0836992,Bowl,20170718,20190101,David Ribeiro-Ramalhosa,Villeroy & Boch AG,701,D261715;D276870;D384555;D432361;D489226;D609530;D631296;D653496;D746640,"The ornamental design for a bowl, as shown and described."
D0836993,Cooler,20170517,20190101,Samuele Meda;Joakim Ahlström,Dometic Sweden AB,701,D281695;D337232;5407218;D374772;5676296;D400053;5860281;D416447;6474097;D494021;D497517;D500057;D527225;7143601;D534771;7415794;7913849;8104800;8312816;9163871;9220250;9232290;9320938;D792486;D802028;D802029;D802630;2011/0226785;2014/0338390;2015/0000318;2015/0008242;2015/0021106;2015/0114024;2015/0241107;2016/0101924;2017/0023290,"The ornamental design for a cooler, as shown and described."
D0836994,Cooler,20170517,20190101,Samuele Meda;Joakim Ahlström,Dometic Sweden AB,701,D281695;D337232;5407218;D374772;5676296;D400053;5860281;D416447;6474097;D494021;D497517;D500057;D527225;7143601;D534771;7415794;7913849;8104800;8312816;D712720;D712721;D712722;D712723;D714125;8910819;D722474;D722475;D732348;D732349;D732350;D732899;9139352;9163871;9187232;9220250;9232290;D752347;9320938;D792486;D802028;D802029;D802630;2011/0226785;2014/0338390;2015/0000318;2015/0008242;2015/0021106;2015/0114024;2015/0241107;2015/0322698;2015/0353263;2016/0101924;2017/0023290,"The ornamental design for a cooler, as shown and described."
D0836995,Cooler,20170619,20190101,Richard Carey;Ross Niemi,The Metal Ware Corporation,701,1483953;D70542;1699313;2960216;D210795;3782765;D232798;D237135;D257934;D259232;D266822;D270604;D281695;D283480;D283966;D291858;4702504;D305397;D307998;D322198;D325323;D325324;D325853;D328221;D328689;D330329;D333775;D334868;D340167;D340620;D349007;D351318;D352208;D353304;D354419;D366599;D369722;D370159;D376068;5607195;D380369;D386649;5683097;5735428;5738238;5742990;D394550;D396779;D397585;D398816;D407609;D415393;D415658;D421552;D423294;D429606;D437736;D439406;D439913;D454292;6398272;D467470;D467770;D475248;D486457;D494021;D511247;D511624;D521810;D528368;D552426;D560102;D563731;D566479;D575059;D587972;7533782;7540364;D604994;D613109;D613560;7722204;D634982;D637459;D640102;D645248;D646528;D651860;D660885;8210702;D694070;D712720;D712721;D712722;D712723;D714125;8887515;8910819;9187232;D747950;D747951;D748452;D750953;2008/0025544;2008/0110892;2009/0139245;2011/0203297;2012/0132657;2014/0252010,"The ornamental design for a cooler, as shown and described."
D0836996,Cooler,20170915,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836997,Cooler,20171101,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836998,Cooler,20171101,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,4050264;4537313;D289597;4805776;D311476;D340840;5329787;5421172;D371942;D387626;7162890;D575059;7730739;8327659;D732348;D732349;D732350;D732899;9139352;D752347;D768378;9491994;D786559;D786560;D786561;D786562;D787187;D797454;D797455;D798670;D799276;D799277;D800444;D801123;D802373;D814879,"The ornamental design for a cooler, as shown and described."
D0836999,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and wrap-around closure, as shown and described."
D0837000,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and wrap-around closure, as shown and described."
D0837001,Cooler with strap handles and wrap-around closure,20171229,20190101,James Matthew Jacobsen,"RTIC IP, LLC",701,D195812;3225983;3734336;3905526;4050264;4119248;4537313;D284333;D284623;D289597;4805776;D311452;D311476;4978044;D313316;D340621;D340840;5329787;5421172;D361665;D371052;D371907;D371942;D387626;D390004;D403161;6238091;D450187;D461633;D465134;6474097;6666363;D492115;7162890;7240513;D573422;D575059;7540363;7669436;7730739;D628382;D636184;8327659;D673994;8348510;D692661;8899071;D722233;D724318;D725900;D726407;D730043;D732899;9078501;D752347;D762384;9408445;D768378;9491994;D786559;D786560;D786561;D786562;D797454;D797455;D800444;D805851;D808655;D808730;2005/0205459;2007/0237432;2009/0049859;2010/0320248;2013/0140120;2013/0188892;2016/0029764,"The ornamental design for a cooler with strap handles and a wrap-around closure, as shown and described."
D0871816,Decanter,20170419,20200107,Ewald Eisen,VitaJuwel GmbH,701,D182852;D283287;D300107;D435996;D474406;D485584;D488385;D551014;D560445;D570690;D587060;D602358;D602360;D635403;D646932;D655967;D661939;D665231;D670134;D671786;D679599;D683184;D683220;D685218;D687259;D693628;D701727;D711180;D725473;D728297;D728316;D739737;D751331;9352883;D776483;D795697;D805917;D806829;D812980;D814306;D817062;D824259;D827363;D832711;2013/0301378;2014/0151390,"The ornamental design for a decanter, as shown and described."
D0871817,Tiki beverage dispenser,20181212,20200107,Desiree Gaye Follett,"Island Genius, LLC",701,D267232;D468969;D492642;D496490;D517419;D519035;D520800;D664396;D716096;D723879;D741109;D747926;D772721;D781667;D781714;D806480;D852053;2007/0234935,"The ornamental design for tiki beverage dispenser, as shown and described."
D0871818,Dispenser,20180126,20200107,Jerry Squires;Juan Mola;Joshua Cox;Richard Baron;Steven Garbee,Société des Produits Nestlé S.A.,701,D206519;D261390;D272975;D335062;D368617;D408206;D451748;D453088;D461675;D510675;D553416;D555968;D576440;D600062;D604087;D658423;D669154;D697356;D699501;D702237;D717911;D776970;D786603;D789133;D791533;D799880;D822154;D825243;D838529;D838530;D838540;D842428;D847553;D848195;2012/0222999;2017/0057802,"The ornamental design for a dispenser, as shown and described."
D0871819,Beverage dispenser,20180613,20200107,Bouke Wilens;Rudolf Klaas Van Beelen,Heineken Supply Chain B.V.,701,4844290;D478504;D484355;D556499;D558950;D588856;D603221;D615340;D615353;D625541;D652299;D697414;D703990;D711178;D721276;D722892;D787268;D795628;D796243;D822422;D831426;D836978,"The ornamental design for a beverage dispenser, as shown and described."
D0871820,Jug,20181221,20200107,Zhibin Zou,"Qingdao Ecopure Filter Co., Ltd.",701,D270602;D367201;D367298;D367580;6164190;D444843;D512262;D542077;D552917;D567568;D595534;D604088;D638246;D677360;D691417;D728298;D738669;D739494;D740916;D770010;D774622;D775711;D789135;D798643;D845694,"The ornamental design for a jug, as shown and described."
D0871832,Piercer,20171025,20200107,Carlos Hernan Marina;Dario Federico Stanziano;Hernán Javier Giorgi;Tomás Águila,"PepsiCo, Inc.",701,D85279;2073636;2930408;3369691;D217899;D232915;D262192;4346495;D278033;D286508;D313176;D316035;D350460;5385326;D364810;5547275;D374150;5573152;D377435;5626250;5671586;5711445;D402889;D405693;D407946;D410364;D414238;6105799;6142366;D451200;6405675;6409035;D464263;6460759;D470050;D481937;D501362;D510270;D512874;D516915;D517869;D528862;D528921;D529338;D529379;D532305;D536582;D536929;D537676;D539078;D539136;D547657;D554000;D562626;D565353;D567021;D569685;D579272;D581278;D588870;D594332;D596458;D600973;D609969;D622835;D626415;D629693;D635020;D637466;D647364;D650677;D660082;D661549;D661551;D665953;D668150;D676717;8365913;8365941;D680805;D684065;D688531;D689375;8544676;8579149;8584879;D697431;D702492;D703000;D703487;8752720;D709387;D710703;D712268;D717651;8899644;8926840;D727171;D730729;D735038;D754999;D761628;D764232;D769043;D791542;D794391;D795644;D795646;D799888;D799889;D799890;D815942;D836409;D840223;10232985;2002/0027142;2004/0124192;2006/0124579;2007/0084821;2007/0199914;2008/0061025;2008/0087624;2008/0264896;2009/0178995;2010/0055252;2011/0166910;2012/0183657;2013/0103589;2014/0130454;2016/0376061;2017/0029156;2017/0354289;2018/0009590,"The ornamental design for a piercer, as shown and described."
D0871836,Bite-actuated mouthpiece,20180531,20200107,Derek Campbell;Eric Mar,"CamelBak Products, LLC",701,1163805;1788795;2844267;3179301;3972443;D241355;D243720;D248479;D248481;4485963;4607755;4690375;4836404;4852762;4925042;D318621;5060833;5065909;5085336;5085349;5101991;5242079;5245804;5271531;5273172;5292021;D347358;5390805;5601207;5699933;5730336;5755368;5791510;5806726;5873478;5897013;5911406;5950878;6021801;6050433;6062435;6116458;6145695;D437528;6196413;6199729;6264166;6279772;6364168;D457390;6390341;6513686;6523711;6557721;D479129;6698716;6708950;6719273;6742681;6745915;D493327;6764064;6783115;D497282;6854888;6874760;6886807;6994225;D530199;D532557;D547606;7267245;D566549;7533783;D599616;D612727;D629644;D630038;8152138;D658984;8191727;D663172;D669733;8469226;8622236;D700370;8640928;D701764;8701928;D754000;D754540;D758789;D765467;D769060;D769714;D781645;9609969;D787913;D807148;D812744;2002/0011583;2002/0092858;2002/0092877;2002/0148806;2002/0166990;2003/0168462;2003/0173536;2003/0222238;2004/0000551;2004/0069783;2004/0159820;2004/0164043;2005/0029313;2005/0045647;2005/0056652;2005/0115966;2005/0184026;2005/0184075;2005/0194410;2006/0201902;2010/0084411;2010/0213223;2012/0031024;2012/0156345;2013/0020796;2013/0181005;2014/0209644;2014/0263157;2015/0014369;2015/0368006,"The ornamental design for a bite-actuated mouthpiece, as shown and described."
D0871839,Retractable water bottle,20181227,20200107,Weiming Sun,"Yiwu Smartlove Pet Products Co., Ltd.",701,D322868;5960742;D658064;D670134;D675481;D705501;D711740;D712254;D774834;D806568;D809845;10251468;D850017;D854256;D861258;2007/0017450;2007/0017451;2007/0079762;2008/0087224;2009/0159009;2014/0209032;2014/0261198;2017/0127859,"The ornamental design for a retractable water bottle, as shown and described."
D0871840,Bottle,20161011,20200107,David O. Meyers,"Runway Blue, LLC",701,D93704;D197919;D199440;D228625;3967995;D275733;D279650;D288663;D305871;D313754;D337693;D369551;D374401;D390466;D396639;D417847;6095378;D476893;D477225;D479997;D488675;D500445;D526564;D530609;D536975;D538165;D553499;D563785;D580625;D611814;D630474;D632959;D641257;D646572;D655167;D660700;D661945;D671409;D688946;D697410;D697805;D703537;D710696;D718133;D745398;D746627;D750486;D751385;D756222;D760590;D761656;D765511;D767390;D772070;D781150;D784812;D787939;D789148;D799963;D809384;D828165;D830773;D836389;D838172;D842030;D842110;D842699;D843220;D845766;2011/0006060;2015/0034584;2017/0127859,"The ornamental design for a bottle, as shown and described."
D0871841,Water bottle,20170705,20200107,Xiangmei Jiang,,701,D640095;D741025;D795059;D801111;2008/0006718;2012/0261416;2016/0159538,"The ornamental design for a water bottle, as shown and described."
D0871842,Water bottle with crash surface,20170808,20200107,Huajun Yao,,701,D227876;D511436;D514894;D524160;D542598;D602735;D616704;D732403;D774833;D790285;D799907;D804254;D805852;D809344;D814852;D819396;D823068;D824218;D831436;D837600;D839055;D839056;D843212;2017/0119212,"The ornamental design for a water bottle with crash surface, as shown and described."
D0871843,Bottle,20171008,20200107,Pandian Peng,,701,D201157;D224200;D251358;D356160;D470014;D475244;D530609;D559692;D563792;D595138;D632579;D663038;D673283;D687305;D687713;D693177;D696410;D728114;D732966;D742019;D745308;D758198;D803002;D807185;D821138,"The ornamental design for a bottle, as shown and described."
D0871844,Fluid container with cap and cup,20171204,20200107,"Richard John Adams, Jr.;Joshua James Birkle","KLEAN KANTEEN, INC.",701,3110408;3465905;D222800;D259183;D278121;5052592;D351321;D383980;D420766;D438376;D454282;D457245;D466814;D488675;D491800;D497778;D630474;D641591;D651931;D652682;D675523;D676748;D693688;D695138;D703053;D710236;D715156;D735514;D737149;D769067;D777575;D779272;D786679;D799899;D806475;D819894;D823537;D823689;D828113;D836389;D838141;D841393;D845132;D846995;D853183;D853789;2010/0108695;2015/0359365;2019/0069699,"The ornamental design for a fluid container with cap and cup, as shown and described."
D0871845,Bottle,20181229,20200107,Junjun Huang,,701,D355367;D419885;D651854;D719028;D750434;D805846;D816410;D829054;D856085;2012/0318767;2019/0021529,"The ornamental design for a bottle, as shown and described."
D0871846,Donut mug,20181113,20200107,Eric Michael Hebert,"Fairly Odd Treasures, LLC",701,D212546;D495207;D548009;D548010;D597377;D716101;D721975;D847583;D857331,"The ornamental design for a donut mug, as shown and described."
D0871847,Commuter mug,20181213,20200107,Sara L. Delgado Carmona,Dart Industries Inc.,701,D254241;D265628;D290323;D298902;D310781;D375870;D540124;D572082;D583627;D623475;D703008;D754999;D767333;D767938;D774827;D778095;D780526;D795643;D809922;D815906;D837595;D848208;2006/0102584;2013/0126369,"The ornamental design for a commuter mug, as shown and described."
D0871848,Martini glass,20180504,20200107,Rich Flores,,701,3008678;D429603;D454757;D515359;D527223;D543783;D563724;D602309;D679945;D698200;D717603;D740062;9204744;D756708;D781655;2012/0152263;2014/0097105,"The ornamental design for a martini glass, as shown and described."
D0871849,Cup,20170915,20200107,Edward Ko;Andrew Simpson,HUSKEE TECH PTY LTD,701,3558001;D248358;5071060;D338302;D398649;D454304;D573390;D578350;D595090;D621221;D634200;D655982;D718577;D752972;D779275;D782150;D811821;D819405;D836442;D838171;2001/0050287;2016/0137332,"The ornamental design for a cup, as shown and described."
D0871850,Drinking vessel,20180309,20200107,Rafal Wisniewski;Stefan Lemke,PCO Group GmbH,701,D79431;D99798;D107739;D108699;D165267;3089605;D246446;D260088;D260749;D284631;D284823;D289148;D293992;D330943;D334321;D364996;D408683;D419380;D479668;D531453;D540120;D551559;D582534;D589297;D608652;D663166,"The ornamental design for a “drinking vessel,” as shown and described."
D0871851,Drinking vessel,20180309,20200107,Rafal Wisniewski;Stefan Lemke,PCO Group GmbH,701,D79431;D99798;D107739;D108699;D165267;3089605;D246446;D260088;D260749;D284631;D284823;D289148;D293992;D330943;D334321;D364996;D408683;D419380;D479668;D531453;D540120;D551559;D582534;D589297;D608652;D663166,"The ornamental design for a “drinking vessel”, as shown and described."
D0871852,Beverage tumbler,20180828,20200107,Colton Bryan Haas,"Vinglacé, LLC",701,2863585;3156279;D213174;3760972;3781164;D282897;D328014;5197602;6085927;6109518;D438430;D458806;6405892;6419108;6626326;6641854;D505830;6915917;D510235;D516429;D519785;7104413;7124603;D550034;D551502;D557561;D582580;7546932;D597791;D599169;D604157;7669725;D618964;7934537;RE42421;D644938;8033412;D650633;D672618;D673010;8328014;D690161;D693176;D699996;8684223;8695830;D717601;8932428;D723334;D725425;8998020;9161661;D742173;9181015;D753482;D754544;9307853;D756716;D756789;D757497;9414700;9452876;D769069;D777575;9585501;9630771;9651299;9681771;9750359;9750360;9771205;D799274;D806478;D807168;D825994;D830126;D833818;D834892;D839678;2002/0162845;2005/0098565;2013/0248537;2015/0313391;2017/0320640;2018/0194520,"The ornamental design for a beverage tumbler, as shown and described."
D0871853,Set of bowls,20180906,20200107,Uwe Kemker,Vorwerk & Co. Interholding GmbH,701,D207198;D259625;D276401;D276402;D280281;D353083;D399099;D400402;D446684;D504197;D505830;D514385;D514884;D568686;D618861;D627198;D672209;D672618;D684430;D701430;D771443;D799274;D800501;D830124;D836397;D839678;D845076;D847577;D847578;D847579;D850857;2008/0011235,"The ornamental design for the set of bowls, as shown and described."
D0871854,Insulated shoulder bag,20180614,20200107,Britney Vickery,,701,4805776;D328550;D387249;6068402;6092661;8281950;2007/0237432;2015/0008242;2016/0101924,"The ornamental design for an insulated shoulder bag, as shown and described."
